City,Date,Max Temp,Min Temp,Rain,Weather Code,Run Date,Days Difference,Type
Sydney,2026-05-16,20.0,13.0,3.0,55,2026-05-16 17:12:32,0,Actual
Sydney,2026-05-17,20.6,14.6,3.5,61,2026-05-16 17:12:32,1,Prediction
Sydney,2026-05-18,19.1,14.2,2.8,53,2026-05-16 17:12:32,2,Prediction
Sydney,2026-05-19,18.5,15.0,6.8,53,2026-05-16 17:12:32,3,Prediction
Sydney,2026-05-20,17.2,12.6,0.0,1,2026-05-16 17:12:32,4,Prediction
Sydney,2026-05-21,18.4,10.2,0.0,2,2026-05-16 17:12:32,5,Prediction
Sydney,2026-05-22,16.3,14.2,5.8,51,2026-05-16 17:12:32,6,Prediction
Melbourne,2026-05-16,21.8,14.9,0.0,3,2026-05-16 17:12:32,0,Actual
Melbourne,2026-05-17,16.5,14.1,9.6,61,2026-05-16 17:12:32,1,Prediction
Melbourne,2026-05-18,16.9,12.9,3.9,61,2026-05-16 17:12:32,2,Prediction
Melbourne,2026-05-19,15.4,11.1,1.3,51,2026-05-16 17:12:32,3,Prediction
Melbourne,2026-05-20,15.6,9.2,2.2,51,2026-05-16 17:12:32,4,Prediction
Melbourne,2026-05-21,14.8,11.2,0.8,51,2026-05-16 17:12:32,5,Prediction
Melbourne,2026-05-22,15.4,7.7,0.0,3,2026-05-16 17:12:32,6,Prediction
Brisbane,2026-05-16,22.6,14.4,1.0,53,2026-05-16 17:12:32,0,Actual
Brisbane,2026-05-17,23.7,15.0,3.3,55,2026-05-16 17:12:32,1,Prediction
Brisbane,2026-05-18,21.0,17.3,18.9,63,2026-05-16 17:12:32,2,Prediction
Brisbane,2026-05-19,23.5,17.7,4.6,55,2026-05-16 17:12:32,3,Prediction
Brisbane,2026-05-20,23.2,14.1,12.9,63,2026-05-16 17:12:32,4,Prediction
Brisbane,2026-05-21,22.4,12.6,1.2,53,2026-05-16 17:12:32,5,Prediction
Brisbane,2026-05-22,21.3,12.0,0.0,1,2026-05-16 17:12:32,6,Prediction
Perth,2026-05-16,17.7,10.4,0.1,51,2026-05-16 17:12:32,0,Actual
Perth,2026-05-17,19.0,9.4,0.0,3,2026-05-16 17:12:32,1,Prediction
Perth,2026-05-18,20.4,10.4,0.0,3,2026-05-16 17:12:32,2,Prediction
Perth,2026-05-19,23.5,12.2,0.0,0,2026-05-16 17:12:32,3,Prediction
Perth,2026-05-20,23.2,13.1,0.0,3,2026-05-16 17:12:32,4,Prediction
Perth,2026-05-21,21.9,14.1,0.0,3,2026-05-16 17:12:32,5,Prediction
Perth,2026-05-22,23.0,13.4,0.0,3,2026-05-16 17:12:32,6,Prediction
Adelaide,2026-05-16,18.8,13.3,3.3,55,2026-05-16 17:12:32,0,Actual
Adelaide,2026-05-17,17.3,12.5,0.3,51,2026-05-16 17:12:32,1,Prediction
Adelaide,2026-05-18,15.8,11.0,0.1,51,2026-05-16 17:12:32,2,Prediction
Adelaide,2026-05-19,16.6,11.5,2.3,53,2026-05-16 17:12:32,3,Prediction
Adelaide,2026-05-20,16.8,11.1,1.5,51,2026-05-16 17:12:32,4,Prediction
Adelaide,2026-05-21,15.5,7.1,0.0,3,2026-05-16 17:12:32,5,Prediction
Adelaide,2026-05-22,16.5,8.2,0.0,3,2026-05-16 17:12:32,6,Prediction
Hobart,2026-05-16,20.0,9.9,0.0,3,2026-05-16 17:12:32,0,Actual
Hobart,2026-05-17,15.2,11.6,4.7,53,2026-05-16 17:12:32,1,Prediction
Hobart,2026-05-18,16.3,7.9,0.2,51,2026-05-16 17:12:32,2,Prediction
Hobart,2026-05-19,16.0,6.4,0.0,3,2026-05-16 17:12:32,3,Prediction
Hobart,2026-05-20,14.6,5.6,0.0,3,2026-05-16 17:12:32,4,Prediction
Hobart,2026-05-21,14.9,5.4,0.0,3,2026-05-16 17:12:32,5,Prediction
Hobart,2026-05-22,15.8,7.4,0.0,3,2026-05-16 17:12:32,6,Prediction
Canberra,2026-05-16,16.6,10.9,0.0,3,2026-05-16 17:12:32,0,Actual
Canberra,2026-05-17,17.1,10.5,0.4,51,2026-05-16 17:12:32,1,Prediction
Canberra,2026-05-18,16.1,11.6,10.7,55,2026-05-16 17:12:32,2,Prediction
Canberra,2026-05-19,16.0,9.8,6.2,61,2026-05-16 17:12:32,3,Prediction
Canberra,2026-05-20,14.6,6.5,0.0,1,2026-05-16 17:12:32,4,Prediction
Canberra,2026-05-21,13.9,6.2,0.0,1,2026-05-16 17:12:32,5,Prediction
Canberra,2026-05-22,14.3,5.2,0.0,1,2026-05-16 17:12:32,6,Prediction
